2025-08-13 14:11:11.613 | INFO     | app.main:dispatch:135 - Request started
2025-08-13 14:11:11.616 | INFO     | app.main:dispatch:137 - Request completed
2025-08-13 14:11:11.702 | INFO     | app.main:dispatch:135 - Request started
2025-08-13 14:11:11.703 | INFO     | app.main:dispatch:137 - Request completed
2025-08-13 14:11:17.681 | INFO     | app.main:dispatch:135 - Request started
2025-08-13 14:11:17.683 | INFO     | app.main:dispatch:137 - Request completed
2025-08-13 14:11:18.995 | INFO     | app.main:dispatch:135 - Request started
2025-08-13 14:11:19.003 | INFO     | app.main:dispatch:137 - Request completed
2025-08-13 17:30:33.650 | INFO     | app.main:dispatch:135 - Request started
2025-08-13 17:30:33.652 | INFO     | app.main:dispatch:137 - Request completed
2025-08-13 17:30:33.846 | INFO     | app.main:dispatch:135 - Request started
2025-08-13 17:30:33.866 | INFO     | app.main:dispatch:137 - Request completed
2025-08-13 18:50:31.473 | INFO     | app.main:dispatch:142 - Request started
2025-08-13 18:50:31.477 | INFO     | app.main:dispatch:144 - Request completed
2025-08-13 18:50:31.681 | INFO     | app.main:dispatch:142 - Request started
2025-08-13 18:50:31.697 | INFO     | app.main:dispatch:144 - Request completed
2025-08-13 18:52:07.408 | INFO     | app.main:dispatch:142 - Request started
2025-08-13 18:52:07.433 | INFO     | app.main:dispatch:144 - Request completed
2025-08-13 18:53:22.298 | INFO     | app.main:dispatch:142 - Request started
2025-08-13 18:53:22.298 | WARNING  | app.main:http_exception_handler:111 - HTTPException on GET http://127.0.0.1:8000/api/v1/managers/1/squad: Not authenticated
2025-08-13 18:53:22.298 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:26:15.741 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:26:15.743 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:26:15.971 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:26:15.992 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:26:26.749 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:26:26.751 | WARNING  | app.main:http_exception_handler:111 - HTTPException on GET http://127.0.0.1:8000/api/v1/users/1: Not authenticated
2025-08-14 19:26:26.752 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:38:59.699 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:38:59.701 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:38:59.921 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:38:59.922 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:38:59.975 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:38:59.977 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:39:00.193 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:39:00.197 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:39:14.351 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:39:14.379 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:40:41.901 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:40:42.257 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:40:44.895 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:40:45.101 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:41:02.856 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:41:02.866 | WARNING  | app.main:http_exception_handler:111 - HTTPException on GET http://127.0.0.1:8000/api/v1/users/1: You don't have permission to perform this action
2025-08-14 19:41:02.867 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:41:53.263 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:41:53.269 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:42:00.063 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:42:00.286 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:42:04.036 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:42:04.238 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:42:17.465 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:42:17.483 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:42:28.054 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:42:28.072 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:42:50.427 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:42:50.435 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:48:58.743 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:48:58.814 | INFO     | app.main:dispatch:144 - Request completed
2025-08-14 19:50:55.651 | INFO     | app.main:dispatch:142 - Request started
2025-08-14 19:50:55.665 | INFO     | app.main:dispatch:144 - Request completed
